timestamp,open,high,low,close,volume
1758778260000,1221.7,1222.32,1220,1221.45,0
1758778320000,1221.55,1222.79,1220.65,1220.88,0
1758778380000,1221.22,1222.02,1220.25,1221.56,0
1758778440000,1221.79,1225.68,1221.59,1224.78,0
1758778500000,1224.95,1227.09,1224.84,1226.84,0
1758778560000,1226.15,1226.98,1224.58,1224.58,0
1758778620000,1224.38,1226.29,1224.05,1224.22,0
1758778680000,1224.33,1224.33,1222.63,1223.12,0
1758778740000,1222.79,1223.68,1221.63,1221.63,0
1758778800000,1221.21,1223.2,1221.21,1223.17,0
1758778860000,1223.31,1224.76,1222.83,1223.91,0
1758778920000,1223.47,1223.99,1222.71,1223.5,0
1758778980000,1224.04,1224.75,1222.47,1222.47,0
1758779040000,1222.76,1223.94,1222.57,1223.44,0
1758779100000,1223.37,1223.37,1221.99,1223.14,0
1758779160000,1223.35,1223.56,1220.2,1220.64,0
1758779220000,1220.66,1221.17,1219.52,1220.31,0
1758779280000,1220.29,1222.22,1219.87,1221.44,0
1758779340000,1221.52,1223.18,1221.35,1223.18,0
1758779400000,1222.87,1225.24,1222.73,1224.2,0
1758779460000,1224.28,1226.42,1224.13,1224.54,0
1758779520000,1224.8,1226.11,1223.65,1225.6,0
1758779580000,1225.88,1226.53,1225.46,1225.97,0
1758779640000,1225.26,1227.31,1223.88,1226.6,0
1758779700000,1225.97,1226.09,1223.81,1225.17,0
1758779760000,1225.38,1227.31,1224.96,1227.31,0
1758779820000,1226.88,1227.36,1225.22,1226.36,0
1758779880000,1226.31,1228.38,1226.27,1226.27,0
1758779940000,1226.31,1229.54,1225.92,1229.54,0
1758780000000,1229.73,1230.24,1228.3,1228.54,0
1758780060000,1228.95,1228.98,1227.69,1228.58,0
1758780120000,1229.08,1229.94,1228.73,1229.61,0
1758780180000,1229.85,1230.34,1228.87,1229.86,0
1758780240000,1229.55,1232.15,1229.02,1232.09,0
1758780300000,1231.99,1233.02,1231.71,1232.23,0
1758780360000,1232.57,1233.22,1231.55,1232.03,0
1758780420000,1232.36,1233.31,1231.38,1231.38,0
1758780480000,1231.58,1234.16,1231.58,1234.02,0
1758780540000,1234.24,1235.75,1233.43,1234.16,0
1758780600000,1234.27,1234.71,1232.53,1232.66,0
1758780660000,1232.98,1233.99,1231.62,1232,0
1758780720000,1231.8,1233.59,1231.14,1233.59,0
1758780780000,1233.22,1233.22,1230.94,1231.3,0
1758780840000,1231.19,1233.55,1230.74,1233.55,0
1758780900000,1233.41,1234.12,1231.92,1231.96,0
1758780960000,1232.1,1235.83,1231.73,1234.48,0
1758781020000,1234.81,1235.54,1233.21,1233.21,0
1758781080000,1232.78,1234.44,1232.03,1234.44,0
1758781140000,1234.22,1235.51,1234,1234.02,0
1758781200000,1234.06,1234.25,1231.35,1231.96,0
1758781260000,1231.73,1231.73,1228.8,1231.41,0
1758781320000,1231.21,1234.89,1231.21,1234.55,0
1758781380000,1234.35,1234.5,1230.68,1231.31,0
1758781440000,1231.01,1233.33,1230.77,1231.84,0
1758781500000,1231.31,1233.66,1231.09,1233,0
