timestamp,open,high,low,close,volume
1755117000000,917.19,917.73,912.06,915.99,0
1755117300000,915.96,920.52,915.8,920.52,0
1755117600000,920.51,920.51,917.65,918.65,0
1755117900000,918.87,919.39,914.07,914.64,0
1755118200000,914.86,918.6,914.44,914.67,0
1755118500000,914.33,915.39,913.01,913.09,0
1755118800000,913.07,915.3,912.4,913.12,0
1755119100000,913.55,916.17,913.39,914.69,0
1755119400000,914.61,916.79,913.78,914.96,0
1755119700000,914.64,914.93,908.49,909.26,0
1755120000000,909.06,910.5,908.15,909.98,0
1755120300000,910.15,913.15,910.01,913.14,0
1755120600000,912.92,914.28,911.18,911.9,0
1755120900000,911.74,913.48,910.86,912.45,0
1755121200000,912.33,913.34,908.99,911.63,0
1755121500000,912.06,913.98,911.36,912.99,0
1755121800000,913.12,915.01,912.02,914.52,0
1755122100000,914.84,917.76,913.23,917.26,0
1755122400000,917.55,918.37,915.29,917.21,0
1755122700000,917.05,921.66,914.94,921.55,0
1755123000000,921.12,921.45,915.91,915.91,0
1755123300000,915.89,921.07,915.32,917.87,0
1755123600000,917.48,920.95,917.06,917.06,0
1755123900000,917.27,922.01,917.15,920.58,0
1755124200000,920.66,922.77,917.66,919.09,0
1755124500000,919.28,920.34,917.64,919.78,0
1755124800000,919.85,922.17,917.81,921.4,0
1755125100000,921.6,924.5,920.92,922.88,0
1755125400000,922.74,922.88,917.54,917.74,0
1755125700000,917.82,920.67,915.84,919.8,0
1755126000000,919.73,921.15,917.11,917.59,0
1755126300000,917.72,920.56,916.63,918.41,0
1755126600000,918.31,920.57,918.07,920.57,0
1755126900000,920.53,920.53,912.03,914.39,0
1755127200000,914.3,916.02,913.32,915.65,0
1755127500000,915.43,916.49,912.96,913.14,0
1755127800000,913.24,913.24,910.32,913.16,0
1755128100000,913.23,914.33,910.52,912.16,0
1755128400000,912.15,914.98,912.14,912.32,0
1755128700000,912.55,914.17,909.92,913.67,0
1755129000000,913.96,915.87,908.88,909.71,0
1755129300000,909.98,914.62,909.42,910.76,0
1755129600000,911.08,915.94,910.32,915.16,0
1755129900000,915.31,915.72,910.04,913.61,0
1755130200000,913.29,920.3,913.29,920.3,0
1755130500000,920.29,921.06,916.91,917.74,0
1755130800000,918.09,919.22,914.9,914.9,0
1755131100000,914.79,916.91,913,915.25,0
1755131400000,914.97,915.16,912.09,912.98,0
1755131700000,913.01,916.05,911.52,916.05,0
1755132000000,915.73,916.7,913.29,913.29,0
1755132300000,913.6,914.17,909.12,910.49,0
1755132600000,910.21,910.22,906.46,907.29,0
1755132900000,907.53,913.06,907.35,911.02,0
1755133200000,911.03,913.5,910.66,910.66,0
1755133500000,910.48,912.96,908.68,912.14,0
1755133800000,911.77,915.39,910.72,915.19,0
1755134100000,915.02,919.97,915.02,917.77,0
1755134400000,917.79,917.86,912.63,916.77,0
1755134700000,916.93,920.04,912.68,912.68,0
1755135000000,912.65,915.14,912.65,914.99,0
1755135300000,915.07,917.53,912.18,912.93,0
1755135600000,913.3,913.64,909.36,910.74,0
1755135900000,910.86,913.05,910.73,912.53,0
1755136200000,912.95,920.49,912.12,918.95,0
1755136500000,918.65,920.94,917.11,917.11,0
1755136800000,917.11,921.07,916.29,921.07,0
1755137100000,921.44,923.74,920.48,923.07,0
1755137400000,922.86,923.16,917.76,917.76,0
1755137700000,917.79,920.27,916.51,916.51,0
1755138000000,916.99,917.3,910.96,911.46,0
1755138300000,911.36,912.52,907.49,907.82,0
1755138600000,907.83,913.53,907.38,911.8,0
1755138900000,911.83,913.43,911.17,911.95,0
1755139200000,911.83,912.96,909.18,910.2,0
1755139500000,910.14,913.05,909.73,912.37,0
1755139800000,912.4,916.06,912.09,915.02,0
1755140100000,915.02,917.02,910.01,911.14,0
1755140400000,911.26,911.48,905.22,906.93,0
1755140700000,906.97,907.03,903.36,904.09,0
1755141000000,904.19,906.58,901.76,902.55,0
1755141300000,902.45,905.99,900.39,904.21,0
1755141600000,904.23,905.67,902.24,903.77,0
1755141900000,903.71,904.34,899.17,901.22,0
1755142200000,901.37,906.87,901.37,904.84,0
1755142500000,904.57,904.65,902.12,903.21,0
1755142800000,902.91,905.03,901.59,904.59,0
1755143100000,904.91,910.28,904.84,910.03,0
1755143400000,910.18,913.29,909.71,912.36,0
1755143700000,912.29,912.97,907.28,908.95,0
1755144000000,908.97,912.77,906.87,912.03,0
1755144300000,911.97,914.49,910.7,914.04,0
1755144600000,914,914.44,909.27,910.95,0
1755144900000,911.28,911.68,908.67,908.82,0
1755145200000,908.87,908.96,902.89,903,0
1755145500000,903.1,903.11,898.24,898.79,0
1755145800000,898.68,900.68,895.45,895.93,0
1755146100000,895.97,899.12,894.92,899.12,0
1755146400000,899.08,902.29,898.9,900.87,0
1755146700000,900.58,903.7,899.72,900.05,0
1755147000000,899.97,903.61,899.39,902.41,0
1755147300000,902.67,903.73,900.73,901.2,0
1755147600000,900.88,902.34,899.93,900.24,0
1755147900000,900.47,903.81,899.36,902.78,0
1755148200000,902.7,905.04,902.08,904.69,0
1755148500000,904.6,906.72,903.68,905.54,0
1755148800000,905.47,907.23,903.91,906.65,0
1755149100000,906.8,910.88,906.8,908.67,0
1755149400000,908.71,912.71,907.99,911.48,0
1755149700000,911.2,912.41,909.57,910.42,0
1755150000000,910.69,914.51,910.55,912.7,0
1755150300000,913.1,914.5,910.48,911.95,0
1755150600000,911.84,914.36,911.3,914.32,0
1755150900000,914.13,919.16,913.83,917.05,0
1755151200000,917.08,917.74,914.5,916.15,0
1755151500000,916.08,917.34,914.73,914.73,0
1755151800000,914.77,916.94,913.05,915.87,0
1755152100000,915.62,915.9,910.85,913.78,0
1755152400000,913.61,919.03,913.53,918.18,0
1755152700000,918.43,923.7,917.1,923.11,0
1755153000000,923.18,924.12,920.28,920.28,0
1755153300000,920.09,921.56,917.52,919.19,0
1755153600000,918.65,920.62,917.56,919.7,0
1755153900000,919.75,920.64,917.26,917.34,0
1755154200000,917.62,921.62,916.99,920.92,0
1755154500000,921.1,925.98,920.2,925.19,0
1755154800000,925.05,931.12,925.01,928.96,0
1755155100000,928.95,929.74,926.58,928.28,0
1755155400000,928.34,930.09,926.91,927.99,0
1755155700000,927.9,931.9,926.44,931.55,0
1755156000000,931.14,931.21,927.2,927.41,0
