timestamp,open,high,low,close,volume
1755179700000,2716,2716.271,2710.416,2710.416,0
1755180000000,2710.139,2710.586,2709.065,2709.826,0
1755180300000,2709.741,2711.168,2708.13,2708.261,0
1755180600000,2708.391,2710.093,2708.069,2709.042,0
1755180900000,2709,2711.319,2708.55,2709.429,0
1755181200000,2709.534,2710.188,2707.376,2708.763,0
1755181500000,2709.029,2709.929,2708.156,2708.291,0
1755181800000,2708.451,2711.355,2708.268,2710.723,0
1755182100000,2710.832,2711.647,2707.405,2708.262,0
1755182400000,2708.054,2708.773,2705.582,2705.842,0
1755182700000,2705.767,2706.576,2704.955,2705.954,0
1755183000000,2706.178,2708.268,2705.361,2706.241,0
1755183300000,2706.285,2707.452,2705.144,2706.801,0
1755183600000,2706.704,2709.056,2706,2706.538,0
1755183900000,2706.68,2707.567,2705.123,2707.228,0
1755184200000,2707.351,2711.367,2706.691,2710.297,0
1755184500000,2709.858,2710.144,2705.627,2705.853,0
1755184800000,2705.897,2708.769,2705.626,2707.835,0
1755185100000,2707.561,2708.476,2706.13,2706.13,0
1755185400000,2706.171,2706.355,2700.113,2700.337,0
1755185700000,2700.253,2700.253,2696.582,2698.292,0
1755186000000,2698.492,2701.514,2698.297,2700.464,0
1755186300000,2700.718,2701.663,2698.375,2699.905,0
1755186600000,2699.908,2701.095,2698.388,2699.25,0
1755186900000,2699.344,2699.663,2695.395,2699.102,0
1755187200000,2699.075,2701.044,2699.075,2701.044,0
1755187500000,2700.911,2703.309,2700.046,2703.309,0
1755187800000,2703.159,2705.04,2701.88,2704.964,0
1755188100000,2704.85,2705.604,2701.676,2703.214,0
1755188400000,2703.168,2703.905,2701.754,2702.197,0
1755188700000,2701.909,2704.372,2701.207,2701.495,0
1755189000000,2701.792,2702.7,2699.496,2702.413,0
1755189300000,2702.103,2702.975,2700.661,2702.043,0
1755189600000,2701.848,2704.145,2701.63,2702.834,0
1755189900000,2702.859,2705.809,2702.531,2705.14,0
1755190200000,2704.716,2706.428,2703.687,2703.774,0
1755190500000,2703.97,2709.079,2703.935,2709.025,0
1755190800000,2709.178,2710.852,2708.702,2709.856,0
1755191100000,2710.252,2712.218,2709.161,2709.728,0
1755191400000,2709.657,2712.249,2709.528,2712.09,0
1755191700000,2711.901,2715.223,2711.454,2714.385,0
1755192000000,2714.574,2715.473,2711.205,2711.205,0
