tradeId,asset,timestamp,datetime,hourOfDay,dayOfWeek,minuteOfHour,isMarketOpen,direction,directionEncoded,entryPrice,openPrice,highPrice,lowPrice,closePrice,rsi1m,rsi1mPrev,bbUpper,bbMiddle,bbLower,rsi5m,rsi5mPrev,adx15m,sma15m,sma15mPrev,bbWidth,bbWidthPct,pricePositionInBB,distToUpperBB,distToLowerBB,rsiDelta1m,rsiDelta5m,rsiDivergence,smaSlope15m,distToSma15m,atr1m,candleBodyPct,upperWickPct,lowerWickPct,regime,regimeEncoded,strategyType,strategyEncoded,confidence,priceChange1,priceChange5,priceChange15,target,exitReason,pnl,barsHeld
R_100_1764468513770_1,R_100,1756632120000,+057635-06-16T06:40:00.000Z,6,6,40,1,CALL,1,1317.660000,1314.520000,1318.270000,1314.520000,1317.660000,39.720000,28.540000,1327.307907,1321.693500,1316.079093,39.720000,28.540000,19.384070,1321.693500,1321.948500,0.008496,0.849578,-0.718420,0.732200,0.119978,11.180000,11.180000,0,-0.019290,-0.305177,2.446531,0.837333,0.162667,0,RANGE,1,MEAN_REVERSION,0,80,0.229721,-0.279260,-0.506656,0,SL,-20.000000,3
R_100_1764468513772_2,R_100,1756643220000,+057635-10-22T18:00:00.000Z,18,1,0,1,PUT,0,1301.460000,1300.710000,1301.910000,1299.560000,1301.460000,64.180000,61.790000,1302.724627,1297.691500,1292.658373,64.180000,61.790000,26.793659,1297.691500,1297.527000,0.007757,0.775705,0.748739,0.097170,0.676289,2.390000,2.390000,0,0.012678,0.290400,2.230764,0.319149,0.191489,0.489362,RANGE,1,MEAN_REVERSION,0,80,0.077665,0.208662,0.207891,0,TIMEOUT,9.281883,30
R_100_1764468513773_3,R_100,1756804320000,+057640-11-29T08:00:00.000Z,8,4,0,1,CALL,1,1206.030000,1204.370000,1206.980000,1204.370000,1206.030000,38.030000,29.150000,1219.762218,1211.611500,1203.460782,38.030000,29.150000,31.793878,1211.611500,1211.729000,0.013454,1.345434,-0.684786,1.138630,0.213031,8.880000,8.880000,0,-0.009697,-0.460667,2.152624,0.636015,0.363985,0,RANGE,1,MEAN_REVERSION,0,80,0.172765,-0.130010,-0.807665,0,TIMEOUT,6.235334,30
R_100_1764468513773_4,R_100,1756960740000,+057645-11-13T18:00:00.000Z,18,1,0,1,CALL,1,1103.410000,1101.690000,1103.610000,1101.690000,1103.410000,36.610000,26.690000,1108.093381,1105.241000,1102.388619,36.610000,26.690000,39.199252,1105.241000,1105.302000,0.005162,0.516155,-0.641920,0.424446,0.092566,9.920000,9.920000,0,-0.005519,-0.165665,2.008670,0.895833,0.104167,0,RANGE,1,MEAN_REVERSION,0,80,0.155215,-0.221547,-0.219742,1,TP,32.000000,11
