day,count,avgATR,avgADX,trendPercent,rangePercent
Monday,13816,2.741108,25.96,28.63,71.37
Tuesday,14287,2.784412,24.49,24.50,75.50
Wednesday,13883,2.883668,24.89,25.62,74.38
Thursday,14290,2.835365,24.90,24.56,75.44
Friday,12785,2.941007,24.46,24.26,75.74
Saturday,0,0.000000,0.00,0.00,0.00
Sunday,0,0.000000,0.00,0.00,0.00
