timestamp,datetime,entryTag,hourOfDay,dayOfWeek,timeBlock4h,entryPrice,rsi_3,rsi_14,rsi_delta,rsi_oversold_depth,bb_width,bb_position,dist_to_lower_bb,dist_to_upper_bb,below_lower_bb,ewo,ewo_bullish,ewo_bearish,above_ema_50,above_ema_200,ema_50_slope,ema_200_slope,stoch_k,stoch_d,stoch_oversold,atr_pct,adx,mfi,cci,williams_r,price_change_5,price_change_15,price_change_60,candle_body_pct,is_green_candle,recent_volatility,recent_trend,outcome,pnl,pnlPct,exitReason,barsHeld
1756703640,"2025-09-01T05:14:00.000Z","12",5,1,1,4362.805000,8.700000,34.480000,-4.560000,0,0.009877,-1.054594,-0.027104,1.020016,1,-0.293141,0,0,0,0,-0.025035,-0.017150,6.309196,17.825324,1,0.251786,15.519079,NaN,-132.988278,-80.145228,-0.471317,-0.766518,-0.529409,0.713305,0,0.158196,-0.032464,"WIN",32.153626,1.071788,"ROI_130min",26
1756720740,"2025-09-01T09:59:00.000Z","12",9,1,2,4429.815000,1.040000,33.340000,-5.650000,0,0.011830,-1.388895,-0.231944,1.424779,1,-0.107802,0,0,0,0,-0.011134,-0.001654,0.000000,0.000000,1,0.242307,35.637799,NaN,-233.556944,-95.707849,-0.701173,-0.965349,1.072140,0.635841,0,0.123245,-0.030909,"LOSS",-37.157531,-1.200000,"STOP_LOSS",45
1756740540,"2025-09-01T15:29:00.000Z","12",15,1,3,4365.995000,10.530000,34.010000,-1.870000,0,0.007627,-1.269446,-0.103260,0.869718,1,-0.370893,0,0,0,0,-0.027249,-0.011689,0.000000,13.646036,1,0.271851,21.895821,NaN,-216.663599,-91.984733,-0.502502,-0.536955,-0.959330,0.241515,0,0.140274,-0.019146,"LOSS",-35.819859,-1.200000,"STOP_LOSS",23
1756758840,"2025-09-01T20:34:00.000Z","4",20,1,5,4294.065000,3.230000,21.980000,-17.530000,8.020000,0.013896,-1.921398,-0.648851,2.057256,1,-0.425577,0,0,0,0,-0.053000,-0.020813,3.262823,3.262823,1,0.263944,19.210874,NaN,-145.910777,-97.194663,-1.523451,-1.444118,-1.760011,0.939634,0,0.247367,-0.023219,"LOSS",-34.530344,-1.200000,"STOP_LOSS",13
1756811760,"2025-09-02T11:16:00.000Z","12",11,2,2,4373.485000,8.690000,34.780000,-4.760000,0,0.005552,-1.090865,-0.025302,0.582207,1,-0.174473,0,0,0,1,-0.012133,0.000866,10.300744,23.028317,1,0.167439,20.199836,NaN,-117.816079,-82.998252,-0.289091,-0.465188,-0.481495,0.711649,0,0.071229,-0.019965,"LOSS",-33.287252,-1.200000,"STOP_LOSS",10
1756816560,"2025-09-02T12:36:00.000Z","10",12,2,3,4317.925000,23.800000,28.190000,-1.450000,1.810000,0.020553,-0.787317,0.220350,1.851747,0,-0.770120,0,0,0,0,-0.045003,-0.011106,60.954301,64.672939,0,0.247618,50.113769,NaN,-103.520634,-93.244681,-0.071511,-1.291824,-1.570163,0.343146,0,0.175549,-0.083338,"WIN",44.484069,1.663531,"ROI_70min",14
1756830060,"2025-09-02T16:21:00.000Z","12",16,2,4,4275.195000,11.130000,33.860000,-6.270000,0,0.018855,-0.983439,0.015759,1.887341,0,-0.698440,0,0,0,0,-0.049622,-0.017418,14.910341,20.879391,1,0.424071,27.972630,NaN,-87.045740,-79.406595,-0.557550,-1.202364,-2.268636,0.788773,0,0.248313,-0.075685,"WIN",30.004704,1.068723,"ROI_255min",51
1756862580,"2025-09-03T01:23:00.000Z","12",1,3,0,4285.665000,12.970000,32.390000,-3.270000,0,0.011101,-1.046085,-0.025729,1.142338,1,-0.384053,0,0,0,0,-0.023812,-0.008456,5.574277,5.831695,1,0.222824,15.311812,NaN,-147.853449,-94.772838,-0.375886,-0.658772,-0.473057,0.717966,0,0.145514,-0.041398,"WIN",39.443730,1.361282,"ROI_60min",12
1756879080,"2025-09-03T05:58:00.000Z","10",5,3,1,4299.455000,5.790000,30.640000,-7.860000,0,0.008576,-1.414875,-0.178989,1.041846,1,-0.262353,0,0,0,0,-0.022755,-0.005593,3.826122,12.566774,1,0.192891,16.390124,NaN,-127.096000,-94.256757,-0.523130,-0.758028,-0.055325,0.849435,0,0.124424,-0.028366,"WIN",32.929446,1.091871,"ROI_235min",47
1756935900,"2025-09-03T21:45:00.000Z","12",21,3,5,4447.385000,7.030000,34.160000,-5.200000,0,0.005538,-1.342355,-0.095149,0.651000,1,-0.178780,0,0,0,1,-0.013447,0.007258,-0.000000,10.577103,1,0.157331,14.115962,NaN,-174.071415,-93.315217,-0.506040,-0.468855,-0.148182,0.407151,0,0.099941,-0.016135,"LOSS",-37.375941,-1.200000,"STOP_LOSS",70
1756961640,"2025-09-04T04:54:00.000Z","12",4,4,1,4388.725000,8.790000,32.820000,-9.570000,0,0.006737,-0.837629,0.054852,0.620788,0,-0.356443,0,0,0,0,-0.030351,-0.008843,64.960297,87.284623,0,0.208776,30.877090,NaN,4.452326,-35.311796,-0.324098,-0.213954,-1.285905,0.890097,0,0.155377,-0.007163,"WIN",24.225653,0.806840,"ROI_350min",70
1756989540,"2025-09-04T12:39:00.000Z","12",12,4,3,4388.995000,5.410000,34.740000,-1.370000,0,0.008100,-1.116258,-0.047298,0.860971,1,-0.166105,0,0,0,0,-0.011157,-0.003675,-0.000000,7.963978,1,0.260448,13.895213,NaN,-234.276476,-85.232260,-0.488410,-0.523335,0.580245,0.214004,0,0.111060,-0.029039,"LOSS",-36.902531,-1.200000,"STOP_LOSS",17
1756997640,"2025-09-04T14:54:00.000Z","12",14,4,3,4343.715000,20.010000,34.780000,-3.020000,0,0.018065,-0.485886,0.466416,1.348030,0,-0.525278,0,0,0,0,-0.032312,-0.012214,70.128871,77.068317,0,0.299214,28.133403,NaN,-50.497823,-58.603362,-0.161811,-0.848006,-1.093643,0.589503,0,0.195605,-0.061185,"LOSS",-35.574040,-1.200000,"STOP_LOSS",18
1757031360,"2025-09-05T00:16:00.000Z","12",0,5,0,4294.245000,11.800000,34.470000,-1.380000,0,0.014461,-0.736717,0.191387,1.262463,0,-0.319980,0,0,0,0,-0.016539,-0.009660,1.975628,3.602802,1,0.189491,26.014002,NaN,-124.320465,-86.973297,-0.080741,-1.002141,0.484611,0.302191,0,0.157243,-0.050173,"WIN",24.869397,0.870234,"ROI_275min",55
1757081460,"2025-09-05T14:11:00.000Z","10",14,5,3,4380.245000,1.770000,28.400000,-12.110000,1.600000,0.018669,-1.594058,-0.562888,2.457948,1,-0.426766,0,0,0,0,-0.043688,-0.000036,-0.000000,-0.000000,1,0.446961,32.303424,NaN,-147.825322,-92.277731,-1.585331,-2.068300,-0.320640,0.890870,0,0.292471,-0.043037,"LOSS",-35.188673,-1.200000,"STOP_LOSS",3
1757084160,"2025-09-05T14:56:00.000Z","10",14,5,3,4273.755000,34.670000,24.400000,-2.130000,5.600000,0.068281,-0.687290,1.093264,5.898924,0,-2.185714,1,0,0,0,-0.106198,-0.022885,20.746238,10.993963,0,0.566610,46.971527,NaN,-108.569134,-86.097790,-0.268828,-3.929582,-2.747971,0.522118,0,0.355230,-0.284038,"WIN",23.229698,0.821760,"ROI_240min",48
1757107260,"2025-09-05T21:21:00.000Z","12",21,5,5,4303.005000,3.960000,34.630000,-4.920000,0,0.007756,-1.406988,-0.158689,0.938508,1,-0.101767,0,0,0,0,-0.015031,-0.007944,1.419159,1.419159,1,0.252604,21.158108,NaN,-254.504871,-53.872478,-0.738944,-0.493025,0.419917,0.513118,0,0.139679,-0.009472,"WIN",12.350047,0.426376,"TIME_LIMIT",72
1757133060,"2025-09-06T04:31:00.000Z","12",4,6,1,4303.835000,9.250000,34.140000,-2.140000,0,0.005046,-1.039763,-0.010059,0.515992,1,-0.150129,0,0,0,0,-0.009273,-0.004433,3.131661,3.131661,1,0.097439,18.107075,NaN,-172.607523,-98.161560,-0.160992,-0.364618,-0.137363,0.413525,0,0.053539,-0.019139,"LOSS",-6.298131,-0.214692,"TIME_LIMIT",72
1757166360,"2025-09-06T13:46:00.000Z","12",13,6,3,4286.585000,2.630000,33.210000,-7.970000,0,0.003374,-1.266570,-0.045065,0.383178,1,-0.099648,0,0,0,0,-0.009330,-0.004606,6.809339,17.567373,1,0.104935,16.278367,NaN,-134.878312,-76.666667,-0.277770,-0.132331,-0.490053,0.817221,0,0.057994,-0.006549,"LOSS",-34.976018,-1.200000,"STOP_LOSS",31
1757188260,"2025-09-06T19:51:00.000Z","12",19,6,4,4252.565000,17.960000,34.560000,-4.840000,0,0.007130,-1.072478,-0.025939,0.741717,1,-0.273178,0,0,0,0,-0.018849,-0.008758,5.423851,8.687796,1,0.157738,22.822372,NaN,-134.715190,-80.697151,-0.183083,-0.420557,-1.001032,0.707880,0,0.083209,-0.025261,"WIN",26.124733,0.929792,"ROI_315min",63
