timestamp,datetime,entryTag,hourOfDay,dayOfWeek,timeBlock4h,entryPrice,rsi_3,rsi_14,rsi_delta,rsi_oversold_depth,bb_width,bb_position,dist_to_lower_bb,dist_to_upper_bb,below_lower_bb,ewo,ewo_bullish,ewo_bearish,above_ema_50,above_ema_200,ema_50_slope,ema_200_slope,stoch_k,stoch_d,stoch_oversold,atr_pct,adx,mfi,cci,williams_r,price_change_5,price_change_15,price_change_60,candle_body_pct,is_green_candle,recent_volatility,recent_trend,outcome,pnl,pnlPct,exitReason,barsHeld
1749168000,"2025-06-06T00:00:00.000Z","12",0,5,0,2406.670500,8.350000,34.420000,-3.690000,0,0.011460,-1.109603,-0.063205,1.216542,1,-0.756156,0,0,0,0,-0.063386,-0.056297,3.498654,6.391573,1,0.392974,40.916688,NaN,-127.351219,-88.542094,-0.592910,-1.099865,-6.355051,0.501147,0,0.171357,-0.028574,"WIN",34.696690,1.156556,"ROI_175min",35
1749249600,"2025-06-06T22:40:00.000Z","12",22,5,5,2479.005000,13.650000,34.320000,-1.460000,0,0.007704,-1.003720,-0.001439,0.774841,1,-0.299283,0,0,0,0,-0.019266,-0.004569,0.000000,9.460689,1,0.179657,16.234308,NaN,-180.648944,-84.543123,-0.217758,-0.450961,-0.296195,0.337907,0,0.095132,-0.023899,"WIN",11.006413,0.354578,"TIME_LIMIT",72
1749341400,"2025-06-08T00:10:00.000Z","12",0,0,0,2516.955000,5.190000,34.880000,-3.490000,0,0.009934,-0.846679,0.076476,0.921113,0,-0.154410,0,0,0,1,-0.010323,0.002248,0.000000,2.646406,1,0.144764,16.888532,NaN,-113.253163,-97.688944,-0.304992,-0.672456,-0.030186,0.849123,0,0.093504,-0.040196,"LOSS",-6.331665,-0.201831,"TIME_LIMIT",72
1749374400,"2025-06-08T09:20:00.000Z","12",9,0,2,2509.385000,5,34.960000,-3.430000,0,0.003655,-1.085849,-0.015722,0.381985,1,-0.087093,0,0,0,0,-0.006801,-0.001302,0.000000,0.000000,1,0.099205,21.845128,NaN,-151.841321,-74.215033,-0.234169,-0.305909,-0.025099,0.597345,0,0.058018,-0.005805,"WIN",7.293951,0.233922,"TIME_LIMIT",72
1749420840,"2025-06-08T22:14:00.000Z","12",22,0,5,2519.995000,11.720000,34.780000,-0.440000,0,0.008129,-1.166957,-0.068181,0.884932,1,-0.204980,0,0,0,0,-0.016405,-0.000288,-0.000000,7.204281,1,0.184082,17.689056,NaN,-269.531312,-92.631225,-0.934675,-0.496335,-0.321582,0.095703,0,0.133419,-0.007780,"LOSS",-37.679954,-1.200000,"STOP_LOSS",53
1749438540,"2025-06-09T03:09:00.000Z","10",3,1,0,2484.795000,11.920000,31.350000,-0.150000,0,0.007188,-1.056027,-0.020212,0.741742,1,-0.367304,0,0,0,0,-0.026023,-0.010797,10.667904,25.654504,1,0.161775,28.611706,NaN,-176.147928,-90.256612,-0.251299,-0.354902,-1.415997,0.060127,1,0.111762,-0.018706,"WIN",10.561721,0.348922,"TIME_LIMIT",72
1749476940,"2025-06-09T13:49:00.000Z","12",13,1,3,2520.595000,14.540000,34.410000,-4.840000,0,0.010889,-1.248307,-0.136110,1.232416,1,-0.229743,0,0,0,1,-0.014504,0.002941,7.108183,8.024463,1,0.242350,32.299810,NaN,-189.650209,-74.796977,-0.714138,-0.945511,1.060889,0.986130,0,0.172727,-0.030416,"WIN",37.034802,1.210825,"ROI_145min",29
1749533340,"2025-06-10T05:29:00.000Z","10",5,2,1,2668.405000,11.220000,31.280000,-5.720000,0,0.008294,-1.601623,-0.251151,1.086063,1,-0.270434,0,0,0,1,-0.024603,0.013792,-0.000000,33.220673,1,0.221345,14.869630,NaN,-335.523193,-96.524761,-0.736920,-0.684570,-1.869637,0.604230,0,0.158544,-0.012256,"WIN",26.465974,0.834956,"ROI_265min",53
1749562740,"2025-06-10T13:39:00.000Z","12",13,2,3,2723.235000,2.980000,34.590000,-5.770000,0,0.017304,-1.483025,-0.423356,2.176293,1,-0.127959,0,0,0,1,-0.020640,0.015055,-0.000000,2.777778,1,0.435122,31.112125,NaN,-232.804422,-79.880952,-1.715765,-1.147433,1.588797,0.728802,0,0.249711,-0.017980,"WIN",26.009997,0.800519,"ROI_280min",56
1749629700,"2025-06-11T08:15:00.000Z","10",8,3,2,2773.735000,3.080000,31.420000,-10.100000,0,0.008626,-1.470006,-0.204012,1.072137,1,-0.250034,0,0,0,1,-0.024914,0.000116,0.706522,0.471014,1,0.221762,14.309385,NaN,-98.778601,-91.322073,-0.762066,-0.777685,-0.508909,0.762306,0,0.149703,-0.007470,"WIN",40.496077,1.217131,"ROI_255min",51
