tradeId,asset,timestamp,datetime,hourOfDay,dayOfWeek,minuteOfHour,isMarketOpen,timeBlock6h,direction,directionEncoded,entryPrice,openPrice,highPrice,lowPrice,closePrice,rsi1m,rsi1mPrev,bbUpper,bbMiddle,bbLower,rsi5m,rsi5mPrev,adx15m,sma15m,sma15mPrev,bbWidth,bbWidthPct,pricePositionInBB,distToUpperBB,distToLowerBB,rsiDelta1m,rsiDelta5m,rsiDivergence,smaSlope15m,distToSma15m,atr1m,candleBodyPct,upperWickPct,lowerWickPct,atrPercent,dynamicTpPct,dynamicSlPct,tpSlRatio,normalizedSlope,slopeStrength,rsiDivergenceType,rsiDivergenceEncoded,regime,regimeEncoded,strategyType,strategyEncoded,confidence,priceChange1,priceChange5,priceChange15,target,exitReason,pnl,barsHeld
R_100_1764470476909_1,R_100,1756537620,2025-08-30T07:07:00.000Z,7,6,7,1,1,PUT,0,1235.340000,1237.410000,1237.590000,1235.060000,1235.340000,61.460000,68.980000,1240.658021,1231.396500,1222.134979,63.360000,70.160000,24.300123,1217.563500,1216.596000,0.015042,1.504231,0.425794,0.430490,1.068938,-7.520000,-6.800000,-1.900000,0.079525,1.460006,2.493261,0.818182,0.071146,0.110672,0.201828,0.005046,0.003027,1.666667,0.050367,0.050367,,0,RANGE,1,MEAN_REVERSION,0,80,-0.194708,-0.074418,0.430064,1,TP,32.000000,5
R_100_1764470476911_2,R_100,1756545480,2025-08-30T09:18:00.000Z,9,6,18,1,1,CALL,1,1230.530000,1227.710000,1230.570000,1226.410000,1230.530000,40.760000,32.620000,1243.550377,1234.474000,1225.397623,51.020000,43.380000,26.144031,1226.779000,1225.635500,0.014705,1.470485,-0.434535,1.058111,0.417087,8.140000,7.640000,-10.260000,0.093299,0.305760,2.560953,0.677885,0.009615,0.312500,0.208118,0.005203,0.003122,1.666667,0.086074,0.086074,,0,RANGE,1,MEAN_REVERSION,0,80,0.226430,0.004876,-0.604998,1,TP,32.000000,5
R_100_1764470476911_3,R_100,1756548840,2025-08-30T10:14:00.000Z,10,6,14,1,1,CALL,1,1226.780000,1227.190000,1227.190000,1224.590000,1226.780000,29.480000,31.070000,1236.260049,1231.025000,1225.789951,40.180000,44.090000,23.071245,1229.708500,1229.111000,0.008505,0.850519,-0.810881,0.772759,0.080703,-1.590000,-3.910000,-10.700000,0.048612,-0.238146,2.238297,0.157692,0,0.842308,0.182453,0.004561,0.002737,1.666667,0.094756,0.094756,,0,RANGE,1,MEAN_REVERSION,0,80,-0.068425,-0.352525,-0.499619,0,TIMEOUT,1.565073,30
R_100_1764470476912_4,R_100,1756551780,2025-08-30T11:03:00.000Z,11,6,3,1,1,PUT,0,1232.620000,1234.910000,1235.320000,1232.450000,1232.620000,60.330000,69.380000,1234.443848,1228.135500,1221.827152,51.340000,48.560000,17.666044,1232.205000,1231.448500,0.010273,1.027305,0.710883,0.147965,0.875602,-9.050000,2.780000,8.990000,0.061432,0.033679,2.291440,0.797909,0.142857,0.059233,0.185900,0.004647,0.002788,1.666667,0.057485,0.057485,,0,RANGE,1,MEAN_REVERSION,0,80,-0.187055,0.208935,0.518650,0,TIMEOUT,17.296490,30
R_100_1764470476912_5,R_100,1756554780,2025-08-30T11:53:00.000Z,11,6,53,1,1,CALL,1,1223.650000,1224.370000,1225.680000,1223.650000,1223.650000,35.990000,36.650000,1232.318760,1227.678500,1223.038240,40.270000,42.540000,16.015618,1232.626500,1232.864000,0.007559,0.755941,-0.868163,0.708435,0.049995,-0.660000,-2.270000,-4.280000,-0.019264,-0.728242,2.297982,0.354680,0.645320,0,0.187797,0.004695,0.002817,1.666667,0.030710,0.030710,,0,RANGE,1,MEAN_REVERSION,0,80,-0.026144,-0.345308,-0.493608,0,SL,-20.000000,18
R_100_1764470476912_6,R_100,1756675500,2025-08-31T21:25:00.000Z,21,0,25,1,3,PUT,0,1301.150000,1301.400000,1302.400000,1301.040000,1301.150000,64.830000,66.630000,1304.253621,1293.684000,1283.114379,47.290000,51.380000,16.557343,1309.062500,1310.099000,0.016340,1.634034,0.706364,0.238529,1.386129,-1.800000,-4.090000,17.540000,-0.079116,-0.604440,2.518601,0.183824,0.735294,0.080882,0.193567,0.004839,0.002904,1.666667,-0.085798,0.085798,,0,RANGE,1,MEAN_REVERSION,0,80,-0.044556,0.505948,1.119884,0,SL,-20.000000,24
R_100_1764470476913_7,R_100,1756682340,2025-08-31T23:19:00.000Z,23,0,19,0,3,PUT,0,1326.150000,1328.180000,1328.180000,1325.530000,1326.150000,65.600000,71.940000,1327.721269,1322.654000,1317.586731,67.900000,65.010000,20.798897,1304.867000,1304.423500,0.007662,0.766227,0.689918,0.118484,0.645724,-6.340000,2.890000,-2.300000,0.034000,1.631047,2.621372,0.766038,0,0.233962,0.197668,0.004942,0.002965,1.666667,0.003243,0.003243,,0,RANGE,1,MEAN_REVERSION,0,80,-0.134795,0.308607,0.402777,1,TP,32.000000,24
R_100_1764470476913_8,R_100,1756725900,2025-09-01T11:25:00.000Z,11,1,25,1,1,PUT,0,1264.220000,1263.630000,1264.300000,1262.530000,1264.220000,67.440000,66.280000,1265.655246,1258.942500,1252.229754,59.640000,64.760000,24.194494,1248.046000,1248.371500,0.010664,1.066410,0.786191,0.113528,0.948430,1.160000,-5.120000,7.800000,-0.026074,1.295946,2.313986,0.333333,0.045198,0.621469,0.183037,0.004576,0.002746,1.666667,-0.056388,0.056388,,0,RANGE,1,MEAN_REVERSION,0,80,0.045107,0.193378,0.660069,0,TIMEOUT,11.010742,30
R_100_1764470476914_9,R_100,1756767480,2025-09-01T22:58:00.000Z,22,1,58,0,3,PUT,0,1272.880000,1276.540000,1276.790000,1272.490000,1272.880000,56.470000,70.250000,1277.603669,1270.832000,1264.060331,65,64.480000,23.446983,1257.749500,1256.299500,0.010657,1.065706,0.302437,0.371101,0.692891,-13.780000,0.520000,-8.530000,0.115418,1.202982,2.328415,0.851163,0.058140,0.090698,0.182925,0.004573,0.002744,1.666667,0.109515,0.109515,,0,RANGE,1,MEAN_REVERSION,0,80,-0.274994,-0.109866,0.434759,0,SL,-20.000000,8
R_100_1764470476914_10,R_100,1756770180,2025-09-01T23:43:00.000Z,23,1,43,0,3,PUT,0,1281.460000,1282.190000,1284.080000,1281.460000,1281.460000,70.210000,71.640000,1282.462372,1272.793500,1263.124628,68.110000,61.180000,29.318367,1260.825000,1259.226000,0.015193,1.519315,0.896330,0.078221,1.430819,-1.430000,6.930000,2.100000,0.126983,1.636627,2.475779,0.278626,0.721374,0,0.193200,0.004830,0.002898,1.666667,0.102699,0.102699,,0,RANGE,1,MEAN_REVERSION,0,80,-0.030425,0.512973,0.980284,0,SL,-20.000000,2
R_100_1764470476915_11,R_100,1756811580,2025-09-02T11:13:00.000Z,11,2,13,1,1,PUT,0,1222.450000,1223.420000,1223.420000,1221.600000,1222.450000,69.160000,71.990000,1223.184494,1214.504500,1205.824506,63.850000,60.900000,20.497479,1204.964000,1204.435500,0.014294,1.429389,0.915381,0.060084,1.360014,-2.830000,2.950000,5.310000,0.043879,1.451164,2.548620,0.532967,0,0.467033,0.208485,0.005212,0.003127,1.666667,-0.018596,0.018596,,0,RANGE,1,MEAN_REVERSION,0,80,-0.066217,0.536215,0.971347,0,TIMEOUT,-0.588981,30
R_100_1764470476915_12,R_100,1756884540,2025-09-03T07:29:00.000Z,7,3,29,1,1,CALL,1,1167,1163.440000,1167.010000,1163.100000,1167,51.180000,42.660000,1171.154448,1165.801500,1160.448552,51.070000,46.560000,33.153946,1166.818000,1167.411000,0.009183,0.918329,0.223895,0.355994,0.561392,8.520000,4.510000,0.110000,-0.050796,0.015598,2.589113,0.910486,0.002558,0.086957,0.221861,0.005547,0.003328,1.666667,-0.027845,0.027845,,0,RANGE,1,MEAN_REVERSION,0,80,0.310300,0.293059,-0.072783,0,SL,-20.000000,18
R_100_1764470476916_13,R_100,1756888080,2025-09-03T08:28:00.000Z,8,3,28,1,1,PUT,0,1180.300000,1180.470000,1181.600000,1180.300000,1180.300000,69.930000,71.390000,1182.422690,1174.535000,1166.647310,64.190000,63.610000,26.548330,1165.606500,1165.233000,0.013431,1.343117,0.730886,0.179843,1.156714,-1.460000,0.580000,5.740000,0.032054,1.260588,2.153114,0.130769,0.869231,0,0.182421,0.004561,0.002736,1.666667,-0.032877,0.032877,,0,RANGE,1,MEAN_REVERSION,0,80,-0.032185,0.399796,0.941597,0,SL,-20.000000,11
R_100_1764470476916_14,R_100,1756923180,2025-09-03T18:13:00.000Z,18,3,13,1,3,CALL,1,1155.960000,1154.630000,1156.180000,1154.170000,1155.960000,35.470000,29.800000,1168.136623,1160.956500,1153.776377,41.920000,44.230000,19.092716,1159.151000,1159.785000,0.012369,1.236932,-0.695879,1.053378,0.188901,5.670000,-2.310000,-6.450000,-0.054665,-0.275288,2.320380,0.661692,0.109453,0.228856,0.200732,0.005018,0.003011,1.666667,-0.056123,0.056123,,0,RANGE,1,MEAN_REVERSION,0,80,0.123860,-0.161509,-0.595074,0,SL,-20.000000,6
R_100_1764470476916_15,R_100,1756970400,2025-09-04T07:20:00.000Z,7,4,20,1,1,PUT,0,1108.220000,1107.760000,1109.860000,1107.760000,1108.220000,69.010000,68.150000,1108.919893,1103.767500,1098.615107,61.770000,57.330000,32.909045,1109.614000,1110.174500,0.009336,0.933601,0.864162,0.063155,0.866696,0.860000,4.440000,7.240000,-0.050488,-0.125629,2.089343,0.219048,0.780952,0,0.188531,0.004713,0.002828,1.666667,-0.125582,0.125582,,0,RANGE,1,MEAN_REVERSION,0,80,0.036107,0.425000,0.463236,0,SL,-20.000000,15
R_100_1764470476917_16,R_100,1757019360,2025-09-04T20:56:00.000Z,20,4,56,1,3,PUT,0,1109.230000,1107.960000,1110.210000,1107.960000,1109.230000,67.370000,63.880000,1110.785968,1101.695000,1092.604032,57.540000,54.960000,17.156319,1105.549500,1105.540000,0.016504,1.650360,0.828845,0.140275,1.498875,3.490000,2.580000,9.830000,0.000859,0.332911,2.013005,0.564444,0.435556,0,0.181478,0.004537,0.002722,1.666667,-0.047970,0.047970,,0,RANGE,1,MEAN_REVERSION,0,80,0.147165,0.363732,1.247764,0,TIMEOUT,12.765612,30
R_100_1764470476917_17,R_100,1757026020,2025-09-04T22:47:00.000Z,22,4,47,0,3,PUT,0,1115.470000,1115.850000,1116.250000,1114.260000,1115.470000,67.700000,69.020000,1117.545847,1108.464000,1099.382153,59.250000,61.320000,14.130133,1107.167500,1105.948500,0.016386,1.638636,0.771429,0.186096,1.442248,-1.320000,-2.070000,8.450000,0.110222,0.749887,2.340278,0.190955,0.201005,0.608040,0.209802,0.005245,0.003147,1.666667,0.066403,0.066403,,0,RANGE,1,MEAN_REVERSION,0,80,-0.032263,0.358981,1.034373,0,SL,-20.000000,9
R_100_1764470476917_18,R_100,1757097540,2025-09-05T18:39:00.000Z,18,5,39,1,3,CALL,1,1164.360000,1162,1164.360000,1161.580000,1164.360000,42.800000,35.470000,1172.445077,1166.608000,1160.770923,49.350000,50.920000,24.797744,1161.615000,1161.391500,0.010007,1.000692,-0.385124,0.694379,0.308245,7.330000,-1.570000,-6.550000,0.019244,0.236309,2.164113,0.848921,0,0.151079,0.185863,0.004647,0.002788,1.666667,0.022482,0.022482,,0,RANGE,1,MEAN_REVERSION,0,80,0.181544,-0.104669,-0.359417,0,SL,-20.000000,17
R_100_1764470476917_19,R_100,1757106300,2025-09-05T21:05:00.000Z,21,5,5,1,3,PUT,0,1152.800000,1153.730000,1155.170000,1152.770000,1152.800000,65.470000,68.790000,1155.548736,1147.143000,1138.737264,49.830000,54.340000,25.695190,1156.513500,1156.999500,0.014655,1.465508,0.672993,0.238440,1.219877,-3.320000,-4.510000,15.640000,-0.042005,-0.321094,2.232528,0.387500,0.600000,0.012500,0.193661,0.004842,0.002905,1.666667,-0.086984,0.086984,,0,RANGE,1,MEAN_REVERSION,0,80,-0.072813,0.274869,0.765707,0,SL,-20.000000,24
R_100_1764470476917_20,R_100,1757110860,2025-09-05T22:21:00.000Z,22,5,21,0,3,PUT,0,1171.560000,1174.550000,1174.930000,1171.340000,1171.560000,70.870000,81.880000,1175.122488,1162.737000,1150.351512,72.030000,71.880000,20.742392,1158.426500,1157.941000,0.021304,2.130402,0.712366,0.304081,1.810278,-11.010000,0.150000,-1.160000,0.041928,1.133736,2.513079,0.832869,0.105850,0.061281,0.214507,0.005363,0.003218,1.666667,0.045836,0.045836,,0,RANGE,1,MEAN_REVERSION,0,80,-0.257962,0.400209,1.124701,0,SL,-20.000000,8
R_100_1764470476917_21,R_100,1757114100,2025-09-05T23:15:00.000Z,23,5,15,0,3,CALL,1,1167.990000,1168.060000,1169.300000,1167.580000,1167.990000,33.890000,33.850000,1178.961724,1173.069500,1167.177276,55.620000,51.850000,24.171349,1159.163000,1158.718000,0.010046,1.004582,-0.862068,0.939368,0.069583,0.040000,3.770000,-21.730000,0.038405,0.761498,2.144811,0.040698,0.720930,0.238372,0.183633,0.004591,0.002754,1.666667,0.013197,0.013197,,0,RANGE,1,MEAN_REVERSION,0,80,0.000856,-0.399939,-0.610130,1,TP,32.000000,14
R_100_1764470476918_22,R_100,1757145600,2025-09-06T08:00:00.000Z,8,6,0,1,1,CALL,1,1163.580000,1162.960000,1164.190000,1162.580000,1163.580000,34.220000,33.770000,1176.827221,1169.038500,1161.249779,34.360000,38.030000,29.861595,1181.658000,1183.122000,0.013325,1.332500,-0.700821,1.138488,0.200263,0.450000,-3.670000,-0.140000,-0.123740,-1.529884,2.100261,0.385093,0.378882,0.236025,0.180500,0.004512,0.002707,1.666667,-0.126919,0.126919,,0,RANGE,1,MEAN_REVERSION,0,80,0.008595,-0.336614,-0.825052,1,TP,32.000000,26
R_100_1764470476918_23,R_100,1757199900,2025-09-06T23:05:00.000Z,23,6,5,0,3,PUT,0,1243.610000,1244.450000,1245.440000,1243.200000,1243.610000,67.930000,72.270000,1244.522711,1237.080500,1229.638289,66.360000,66.600000,25.665335,1234.554500,1235.598500,0.012032,1.203189,0.877360,0.073392,1.123480,-4.340000,-0.240000,1.570000,-0.084493,0.733503,2.227544,0.375000,0.441964,0.183036,0.179119,0.004478,0.002687,1.666667,-0.132579,0.132579,,0,RANGE,1,MEAN_REVERSION,0,80,-0.091585,0.469381,0.609998,0,SL,-20.000000,22
R_100_1764470476918_24,R_100,1757202780,2025-09-06T23:53:00.000Z,23,6,53,0,3,PUT,0,1258.480000,1262.130000,1262.130000,1257.830000,1258.480000,62.770000,74.890000,1261.076679,1253.604500,1246.132321,68.970000,66.940000,31.560950,1235.270000,1234.588500,0.011921,1.192111,0.652487,0.206335,0.981158,-12.120000,2.030000,-6.200000,0.055201,1.878941,2.737584,0.848837,0,0.151163,0.217531,0.005438,0.003263,1.666667,-0.006317,0.006317,,0,RANGE,1,MEAN_REVERSION,0,80,-0.317626,0.277291,0.553713,0,SL,-20.000000,8
R_100_1764470476918_25,R_100,1757224980,2025-09-07T06:03:00.000Z,6,0,3,1,1,PUT,0,1294.540000,1294.860000,1295.650000,1294.340000,1294.540000,66.630000,68.880000,1295.944857,1285.452500,1274.960143,55.890000,51.210000,28.831436,1287.839500,1287.561000,0.016325,1.632477,0.866107,0.108522,1.512495,-2.250000,4.680000,10.740000,0.021630,0.520290,2.592224,0.244275,0.603053,0.152672,0.200243,0.005006,0.003004,1.666667,0.048139,0.048139,,0,RANGE,1,MEAN_REVERSION,0,80,-0.055587,0.560855,1.080659,1,TP,32.000000,17
R_100_1764470476919_26,R_100,1757227500,2025-09-07T06:45:00.000Z,6,0,45,1,1,PUT,0,1296.290000,1301.820000,1301.870000,1296.130000,1296.290000,58.710000,75.660000,1299.596589,1292.615000,1285.633411,62.120000,64.080000,25.946923,1289.303500,1289.067500,0.010802,1.080227,0.526384,0.255081,0.822084,-16.950000,-1.960000,-3.410000,0.018308,0.541882,2.809641,0.963415,0.008711,0.027875,0.216745,0.005419,0.003251,1.666667,0.041179,0.041179,,0,RANGE,1,MEAN_REVERSION,0,80,-0.397246,0.359230,0.465012,1,TP,32.000000,9
R_100_1764470476919_27,R_100,1757229480,2025-09-07T07:18:00.000Z,7,0,18,1,1,CALL,1,1277.030000,1275.850000,1277.600000,1275.520000,1277.030000,32.330000,27.010000,1291.893546,1283.150500,1274.407454,39,39.110000,24.084154,1288.351500,1288.912500,0.013627,1.362747,-0.700042,1.163915,0.205363,5.320000,-0.110000,-6.670000,-0.043525,-0.878759,2.553057,0.567308,0.274038,0.158654,0.199921,0.004998,0.002999,1.666667,0.003223,0.003223,,0,RANGE,1,MEAN_REVERSION,0,80,0.114459,-0.084500,-0.716041,0,SL,-20.000000,3
R_100_1764470476919_28,R_100,1757240820,2025-09-07T10:27:00.000Z,10,0,27,1,1,PUT,0,1283.360000,1283.020000,1283.870000,1281.480000,1283.360000,66.500000,66.300000,1284.173774,1275.441500,1266.709226,50.360000,48.750000,14.861970,1284.794500,1285.173500,0.013693,1.369294,0.906808,0.063410,1.297436,0.200000,1.610000,16.140000,-0.029490,-0.111652,2.555511,0.142259,0.213389,0.644351,0.199127,0.004978,0.002987,1.666667,-0.041409,0.041409,,0,RANGE,1,MEAN_REVERSION,0,80,0.008572,0.472865,0.683325,1,TP,32.000000,13
