session,count,avgATR,avgATRPercent,avgRange,avgRangePercent,avgBBWidth,avgADX,trendPercent,rangePercent,avgRSI,TREND_UP,TREND_DOWN,RANGE_QUIET,RANGE_VOLATILE,UNCERTAIN
ASIAN,2451,0.000086,0.0074,0.000087,0.0075,0.0421,25.69,26.72,73.28,51.36,326,329,866,930,0
LONDON,880,0.000136,0.0118,0.000137,0.0119,0.0630,23.20,17.84,82.16,50.86,84,73,124,599,0
NEW_YORK,1080,0.000111,0.0096,0.000105,0.0091,0.0534,26.26,27.13,72.87,50.48,151,142,343,444,0
LONDON_NY_OVERLAP,540,0.000215,0.0186,0.000212,0.0183,0.1018,27.26,30.56,69.44,51.71,94,71,1,374,0
